Soil_Type,Fertility_Index,Location,Season,Average_Rainfall(mm),Temperature(°C),Land_Use_Type,Market_Price,Soil_pH,Sunlight_Exposure(hours),Irrigation_Availability,Pest_and_Disease_History,Previous_Crop
Sandy,85,Dhaka,Monsoon,231.16,34.41,Barren,355,6.1,8.25,Yes,High,Wheat
Silt,63,Chattogram,Autumn,144.1,18.26,Barren,178,8.29,7.2,No,High,None
Silt,50,Sylhet,Autumn,269.95,29.14,Agricultural,328,6.13,11.63,Yes,None,Vegetables
Silt,52,Barishal,Summer,218.65,26.06,Barren,381,7.59,9.14,No,High,Rice
Clay,73,Barishal,Winter,176.6,34.93,Unused,428,6.44,6.39,Yes,Moderate,Tea
Silt,64,Dhaka,Winter,382.22,33.11,Agricultural,319,8.09,5.01,Yes,None,Vegetables
Loamy,46,Chattogram,Autumn,271.26,32.26,Unused,415,8.13,10.74,Yes,None,Vegetables
Peaty,91,Khulna,Monsoon,95.48,23.51,Unused,109,4.85,6.9,No,None,Vegetables
Loamy,43,Dhaka,Summer,246.03,35.12,Barren,376,8.25,9.28,No,Low,Maize
Loamy,98,Khulna,Monsoon,323.26,16.31,Unused,275,7.8,7.77,No,High,Rice
Silt,47,Khulna,Monsoon,297.97,18.99,Barren,372,7.67,5.59,Yes,Low,Rice
Peaty,59,Rajshahi,Monsoon,110.23,23.39,Residential,239,5.3,8.81,Yes,Moderate,Vegetables
Peaty,68,Barishal,Winter,390.35,16.92,Barren,28,7.72,4.49,No,High,Wheat
Peaty,93,Rangpur,Autumn,207.08,20.87,Unused,31,7.9,7.31,No,Low,Vegetables
Clay,92,Chattogram,Winter,105.66,35.75,Residential,344,5.66,8.37,Yes,None,Maize
Silt,90,Khulna,Autumn,113.07,38.71,Barren,457,8.31,7.49,Yes,Low,Jute
Peaty,84,Rajshahi,Summer,84.38,22.62,Unused,263,4.7,9.99,Yes,None,Maize
Clay,85,Barishal,Summer,331.23,21.61,Agricultural,201,5.1,10.62,Yes,Low,Wheat
Sandy,49,Rangpur,Monsoon,92.71,22.0,Agricultural,303,6.65,10.17,No,Low,Vegetables
Sandy,82,Khulna,Autumn,93.79,21.94,Barren,331,6.8,4.31,Yes,Low,Rice
Clay,73,Khulna,Autumn,347.67,15.9,Barren,118,7.08,5.55,Yes,None,None
Clay,96,Dhaka,Autumn,170.61,38.17,Agricultural,216,4.57,8.29,Yes,Low,Tea
Silt,65,Dhaka,Monsoon,60.8,20.34,Unused,385,8.34,11.48,Yes,High,Vegetables
Silt,80,Barishal,Monsoon,68.16,25.5,Unused,245,4.68,10.68,Yes,High,Wheat
Sandy,88,Rangpur,Summer,99.76,15.24,Unused,352,5.07,10.74,Yes,High,Rice
Peaty,97,Khulna,Winter,124.69,36.45,Barren,122,4.56,6.43,Yes,None,Maize
Sandy,42,Barishal,Autumn,282.8,33.28,Residential,125,6.77,7.44,No,None,Jute
Peaty,95,Barishal,Autumn,105.06,38.67,Residential,384,8.23,7.77,No,High,Jute
Peaty,45,Sylhet,Winter,91.61,34.54,Residential,387,7.16,5.26,No,High,None
Silt,44,Chattogram,Autumn,317.65,22.84,Residential,77,7.79,4.25,Yes,High,Vegetables
Loamy,44,Dhaka,Monsoon,284.87,21.2,Residential,97,4.55,11.58,No,Moderate,Maize
Loamy,93,Rangpur,Monsoon,202.36,32.44,Barren,94,6.67,5.93,Yes,High,None
Clay,86,Khulna,Autumn,242.26,24.1,Barren,61,6.34,5.92,Yes,Low,Tea
Silt,62,Barishal,Monsoon,159.19,29.16,Residential,441,6.5,4.67,Yes,Moderate,Tea
Peaty,88,Khulna,Monsoon,218.88,15.16,Barren,343,4.79,11.43,Yes,Moderate,None
Loamy,48,Sylhet,Autumn,227.34,16.55,Barren,200,7.24,8.64,No,None,Wheat
Peaty,74,Rangpur,Summer,185.53,28.38,Residential,52,6.51,9.34,Yes,Low,Jute
Loamy,59,Barishal,Winter,367.3,29.15,Unused,90,7.56,11.29,Yes,None,Maize
Loamy,97,Khulna,Monsoon,55.62,33.79,Barren,75,6.44,6.76,No,None,Vegetables
Loamy,88,Dhaka,Summer,323.76,18.3,Unused,124,5.1,8.97,No,Low,Rice
Silt,100,Chattogram,Monsoon,93.53,27.83,Barren,219,7.09,4.31,No,None,Vegetables
Sandy,98,Sylhet,Monsoon,329.14,19.86,Barren,120,5.19,5.49,Yes,Low,Vegetables
Peaty,81,Rangpur,Winter,265.57,17.33,Residential,275,7.99,10.65,No,Low,Maize
Silt,74,Sylhet,Monsoon,345.15,25.26,Barren,326,6.95,10.13,Yes,None,Jute
Silt,89,Dhaka,Winter,84.13,19.08,Agricultural,93,5.13,6.81,Yes,High,Maize
Silt,57,Rangpur,Winter,245.64,20.54,Agricultural,190,8.35,7.01,No,None,Rice
Silt,56,Sylhet,Winter,225.38,22.94,Residential,396,6.57,8.27,No,Moderate,None
Silt,63,Rajshahi,Summer,297.17,21.48,Unused,162,4.79,4.0,No,None,Maize
Clay,42,Dhaka,Autumn,237.0,17.19,Unused,185,7.01,5.93,Yes,Low,Wheat
Peaty,71,Dhaka,Summer,239.26,17.25,Unused,418,5.51,5.67,Yes,Moderate,Vegetables
Silt,74,Dhaka,Autumn,200.36,19.83,Agricultural,280,7.71,6.0,Yes,Low,Jute
Peaty,77,Rajshahi,Autumn,158.09,16.26,Unused,240,7.77,10.45,Yes,High,Tea
Clay,52,Rajshahi,Winter,218.79,30.66,Unused,102,8.42,6.24,Yes,High,Rice
Clay,95,Khulna,Monsoon,91.47,22.18,Residential,201,6.51,5.53,Yes,Moderate,Tea
Peaty,100,Barishal,Winter,386.53,21.99,Unused,326,6.32,8.03,No,High,Vegetables
Loamy,86,Chattogram,Monsoon,300.04,23.3,Agricultural,29,7.51,10.93,Yes,High,Maize
Sandy,64,Sylhet,Autumn,383.36,31.57,Agricultural,415,5.03,5.93,No,None,Tea
Loamy,48,Khulna,Winter,129.35,36.77,Agricultural,23,6.69,4.63,No,None,Wheat
Loamy,43,Sylhet,Monsoon,357.77,33.98,Residential,370,6.68,6.85,No,High,Maize
Loamy,53,Chattogram,Summer,333.08,33.19,Residential,421,4.86,9.98,No,High,Vegetables
Silt,76,Barishal,Monsoon,287.0,27.11,Barren,355,6.17,8.41,No,None,Tea
Clay,73,Rajshahi,Winter,268.76,32.35,Unused,311,7.91,10.53,Yes,High,None
Loamy,50,Barishal,Summer,160.79,28.82,Residential,300,7.92,11.68,Yes,High,Rice
Clay,80,Rajshahi,Monsoon,335.74,20.41,Agricultural,234,4.9,10.34,Yes,Low,Tea
Peaty,95,Chattogram,Monsoon,225.53,20.21,Agricultural,479,4.86,8.83,Yes,High,None
Sandy,42,Barishal,Monsoon,74.81,22.41,Residential,117,5.55,7.95,No,Moderate,None
Peaty,98,Khulna,Monsoon,159.5,37.77,Residential,439,8.0,4.32,No,Low,Tea
Peaty,67,Rangpur,Monsoon,377.35,28.69,Residential,120,5.02,11.87,No,Moderate,Jute
Silt,68,Khulna,Summer,347.74,33.35,Barren,470,7.38,7.07,Yes,High,Tea
Sandy,48,Sylhet,Autumn,393.67,23.66,Agricultural,28,4.9,5.22,Yes,None,Vegetables
Peaty,42,Khulna,Summer,269.8,25.19,Barren,80,6.99,9.33,Yes,Low,None
Peaty,64,Chattogram,Summer,136.63,18.14,Barren,328,5.92,6.27,Yes,None,Rice
Sandy,73,Dhaka,Summer,106.99,19.28,Unused,165,7.66,8.69,No,Low,Vegetables
Sandy,51,Sylhet,Autumn,115.42,35.68,Agricultural,446,5.43,8.69,No,None,Wheat
Peaty,81,Barishal,Winter,56.93,29.62,Agricultural,438,7.06,7.57,Yes,Low,Maize
Sandy,48,Sylhet,Autumn,186.74,23.44,Residential,82,5.44,10.69,Yes,Low,Tea
Peaty,54,Rangpur,Summer,117.0,35.07,Residential,140,7.35,6.12,No,Moderate,Jute
Peaty,79,Rajshahi,Monsoon,194.08,21.16,Unused,245,7.99,7.59,No,None,Rice
Silt,64,Barishal,Monsoon,377.25,39.4,Barren,124,5.01,8.3,No,Moderate,Jute
Loamy,44,Sylhet,Summer,200.69,23.62,Residential,481,7.97,9.31,No,Moderate,Jute
Peaty,50,Barishal,Monsoon,357.29,23.43,Residential,279,6.87,10.27,Yes,None,Jute
Clay,98,Barishal,Summer,261.93,22.8,Agricultural,368,5.01,7.16,No,Low,Tea
Loamy,73,Barishal,Monsoon,136.5,18.05,Agricultural,444,6.21,9.17,No,Moderate,Rice
Loamy,63,Rajshahi,Autumn,174.55,17.78,Residential,274,5.14,5.2,No,None,Rice
Loamy,99,Chattogram,Winter,79.37,31.2,Agricultural,448,7.3,11.46,No,Low,None
Silt,54,Khulna,Winter,166.71,36.88,Unused,453,7.54,7.06,Yes,Moderate,Jute
Peaty,77,Barishal,Autumn,287.14,34.76,Residential,226,4.92,9.84,Yes,Moderate,None
Silt,47,Dhaka,Autumn,75.24,18.53,Agricultural,47,6.52,4.16,Yes,Moderate,None
Peaty,98,Chattogram,Summer,121.89,28.64,Unused,189,7.76,5.64,Yes,Low,Maize
Silt,44,Rangpur,Summer,183.5,17.64,Agricultural,355,8.24,7.9,Yes,Moderate,Tea
Silt,87,Rajshahi,Summer,393.72,16.13,Agricultural,95,6.55,11.03,Yes,Low,Tea
Clay,65,Sylhet,Monsoon,324.7,31.41,Agricultural,135,8.3,8.22,No,High,Vegetables
Silt,57,Rajshahi,Summer,306.72,28.38,Residential,88,6.64,11.44,No,Moderate,None
Sandy,45,Sylhet,Autumn,90.67,17.05,Barren,373,6.08,7.87,No,High,Tea
Clay,76,Rajshahi,Winter,323.35,15.87,Agricultural,253,7.89,7.92,No,None,Jute
Silt,99,Sylhet,Monsoon,324.84,39.74,Unused,20,6.47,4.96,Yes,Moderate,Wheat
Loamy,87,Barishal,Summer,260.39,15.75,Residential,186,6.39,10.42,No,None,Jute
Sandy,52,Khulna,Monsoon,396.63,26.11,Residential,371,6.46,5.98,Yes,None,Rice
Sandy,67,Sylhet,Monsoon,163.84,27.62,Unused,237,7.89,11.2,No,None,Tea
Sandy,44,Sylhet,Summer,379.45,17.93,Agricultural,292,7.83,11.29,No,High,Tea
Clay,52,Dhaka,Monsoon,370.16,19.23,Barren,387,6.11,11.55,No,Low,Vegetables
Silt,56,Sylhet,Winter,54.02,23.8,Agricultural,270,5.83,8.16,Yes,High,None
Silt,89,Dhaka,Autumn,207.54,34.04,Unused,366,6.47,9.42,No,High,Wheat
Loamy,79,Rangpur,Autumn,391.99,27.68,Residential,363,6.79,10.23,Yes,None,Tea
Loamy,84,Barishal,Winter,86.09,30.95,Barren,438,5.45,5.05,Yes,Moderate,Vegetables
Sandy,71,Dhaka,Monsoon,241.72,39.63,Residential,193,7.68,8.81,No,Low,Vegetables
Loamy,68,Khulna,Summer,392.64,34.2,Unused,189,6.45,4.27,Yes,None,Wheat
Clay,90,Chattogram,Monsoon,244.42,25.86,Agricultural,265,5.84,7.98,Yes,Low,Jute
Silt,97,Barishal,Winter,116.44,26.16,Barren,442,4.93,5.24,No,High,Jute
Sandy,42,Dhaka,Monsoon,253.76,30.47,Residential,109,5.46,5.46,No,Low,Jute
Loamy,95,Barishal,Autumn,121.55,31.63,Residential,68,8.3,6.92,No,Low,Maize
Clay,79,Barishal,Monsoon,231.9,27.52,Residential,465,5.72,7.46,No,Moderate,None
Clay,73,Barishal,Winter,75.91,31.12,Agricultural,313,5.18,8.99,No,None,None
Loamy,79,Rangpur,Autumn,261.92,15.59,Barren,426,6.34,4.6,No,Low,Jute
Silt,66,Khulna,Monsoon,230.88,25.74,Agricultural,169,5.73,8.03,Yes,Low,Wheat
Loamy,52,Rajshahi,Monsoon,309.06,21.97,Agricultural,151,4.64,5.46,No,High,Maize
Sandy,84,Rajshahi,Autumn,270.75,18.23,Agricultural,452,5.79,8.59,No,High,None
Loamy,72,Dhaka,Summer,242.36,17.49,Unused,78,6.68,9.1,Yes,Low,Jute
Clay,45,Barishal,Autumn,291.42,30.08,Unused,476,6.71,8.45,No,None,Maize
Loamy,63,Dhaka,Summer,100.38,28.09,Unused,343,5.93,9.91,Yes,Low,Wheat
Silt,58,Rangpur,Winter,258.38,21.34,Barren,218,6.29,6.68,No,Low,Jute
Peaty,55,Rangpur,Winter,110.24,26.77,Agricultural,234,8.36,10.12,No,Moderate,Rice
Loamy,79,Sylhet,Autumn,373.93,27.31,Agricultural,405,6.01,7.46,Yes,None,Tea
Silt,67,Rangpur,Autumn,73.92,19.88,Unused,68,5.53,7.87,No,Moderate,Wheat
Silt,72,Sylhet,Winter,200.63,31.3,Agricultural,491,5.47,9.18,Yes,None,Vegetables
Clay,98,Khulna,Summer,293.53,34.52,Agricultural,251,6.33,4.15,No,None,Vegetables
Silt,98,Dhaka,Winter,210.31,34.79,Residential,266,7.54,9.23,No,None,Wheat
Silt,87,Chattogram,Autumn,82.23,30.06,Agricultural,401,5.32,8.95,Yes,Moderate,Vegetables
Silt,80,Khulna,Winter,243.68,27.79,Residential,498,7.34,6.48,No,Moderate,None
Silt,52,Rangpur,Autumn,274.57,16.53,Agricultural,258,4.58,4.69,No,Moderate,Wheat
Sandy,82,Khulna,Autumn,296.33,22.2,Barren,434,6.18,4.73,Yes,High,Rice
Sandy,84,Khulna,Winter,180.64,17.33,Unused,386,7.6,11.39,No,Moderate,Wheat
Clay,64,Khulna,Summer,247.28,39.1,Residential,187,5.85,9.51,Yes,High,Jute
Loamy,92,Rangpur,Monsoon,207.74,18.38,Unused,67,6.75,5.02,No,High,Jute
Silt,81,Chattogram,Winter,285.22,18.79,Residential,70,5.32,6.85,Yes,High,Maize
Loamy,75,Barishal,Monsoon,254.24,37.24,Residential,318,7.47,8.74,No,Low,Vegetables
Loamy,66,Khulna,Winter,234.01,38.6,Residential,117,4.71,10.68,Yes,Low,Tea
Clay,77,Sylhet,Monsoon,137.33,34.15,Barren,458,7.91,4.35,Yes,Low,Vegetables
Silt,99,Rangpur,Summer,50.71,15.14,Agricultural,235,5.29,5.89,No,High,None
Silt,46,Khulna,Summer,110.93,15.03,Residential,196,8.0,11.12,No,High,Wheat
Peaty,44,Chattogram,Winter,90.97,24.45,Barren,399,5.91,4.07,Yes,None,Tea
Loamy,82,Barishal,Autumn,207.18,18.58,Residential,493,7.39,5.61,No,High,Tea
Loamy,84,Rangpur,Monsoon,264.29,15.46,Agricultural,99,5.78,11.67,Yes,Low,Vegetables
Sandy,97,Rajshahi,Autumn,124.58,26.6,Residential,204,8.12,8.91,No,High,Tea
Peaty,96,Barishal,Autumn,378.67,38.58,Barren,386,5.01,6.09,No,High,Tea
Sandy,90,Sylhet,Autumn,52.34,23.1,Agricultural,480,5.21,4.54,Yes,None,Jute
Sandy,70,Khulna,Summer,320.31,31.53,Barren,418,6.47,4.23,Yes,High,Rice
Sandy,62,Chattogram,Winter,268.82,31.31,Agricultural,46,4.83,5.96,No,Moderate,Wheat
Clay,81,Rajshahi,Winter,180.74,21.28,Agricultural,471,5.28,11.05,No,None,Vegetables
Clay,49,Chattogram,Summer,67.67,31.26,Unused,483,8.28,7.33,No,High,Jute
Sandy,71,Rajshahi,Summer,269.62,20.31,Unused,467,8.41,9.76,No,High,None
Peaty,82,Rangpur,Winter,184.96,18.05,Unused,497,6.01,11.35,No,None,None
Loamy,92,Rajshahi,Autumn,377.69,32.53,Agricultural,433,8.19,7.26,Yes,High,Maize
Peaty,69,Sylhet,Monsoon,239.7,17.84,Residential,439,6.68,5.53,No,Low,Tea
Silt,78,Sylhet,Monsoon,378.88,39.92,Barren,214,5.58,8.14,No,Moderate,Tea
Clay,70,Dhaka,Monsoon,127.17,19.59,Barren,233,7.31,11.26,Yes,Moderate,Vegetables
Loamy,57,Sylhet,Autumn,304.0,29.85,Barren,388,7.14,10.43,Yes,Low,Rice
Loamy,75,Barishal,Winter,266.04,25.28,Unused,361,8.46,4.53,Yes,High,Rice
Silt,41,Rajshahi,Summer,308.79,18.16,Agricultural,133,5.56,9.54,No,High,Vegetables
Silt,53,Sylhet,Winter,125.13,15.7,Unused,261,7.19,8.58,Yes,Moderate,Vegetables
Sandy,52,Rangpur,Autumn,282.75,30.57,Residential,143,4.71,11.26,Yes,High,Jute
Clay,68,Chattogram,Summer,224.31,35.17,Agricultural,324,4.95,4.98,Yes,Moderate,None
Clay,51,Chattogram,Autumn,309.99,36.05,Barren,95,4.52,8.27,Yes,Moderate,Vegetables
Peaty,78,Dhaka,Monsoon,164.47,27.07,Unused,330,8.5,11.04,No,Low,None
Sandy,41,Chattogram,Monsoon,361.52,34.44,Unused,488,7.71,7.28,No,Moderate,Maize
Sandy,71,Rajshahi,Autumn,79.51,31.82,Residential,331,7.65,7.86,No,High,None
Sandy,52,Dhaka,Summer,332.52,33.11,Residential,215,6.54,4.56,Yes,High,Jute
Sandy,85,Rajshahi,Summer,351.46,27.31,Unused,370,5.7,6.23,Yes,None,Tea
Clay,66,Rangpur,Winter,336.04,30.84,Residential,63,5.11,6.6,Yes,High,Tea
Clay,88,Dhaka,Monsoon,229.45,35.14,Barren,434,5.64,11.56,Yes,None,None
Sandy,80,Khulna,Winter,203.43,24.95,Residential,205,6.0,6.26,Yes,Moderate,Tea
Peaty,56,Barishal,Winter,398.69,35.15,Residential,362,7.53,7.69,Yes,High,Tea
Loamy,79,Barishal,Autumn,130.21,29.8,Unused,265,6.66,9.37,No,Low,Wheat
Loamy,70,Rajshahi,Autumn,241.41,19.15,Unused,456,4.81,5.3,No,Low,Maize
Peaty,73,Chattogram,Winter,284.74,15.62,Agricultural,103,4.57,7.89,Yes,Low,Jute
Sandy,99,Khulna,Monsoon,295.3,24.07,Agricultural,226,4.91,9.91,No,Moderate,Jute
Clay,63,Dhaka,Autumn,121.41,28.67,Unused,170,6.14,10.93,Yes,Moderate,Tea
Loamy,84,Khulna,Winter,278.9,36.0,Residential,175,8.23,9.01,Yes,None,Rice
Silt,74,Khulna,Winter,336.43,18.19,Residential,35,7.05,9.35,No,Low,Jute
Silt,87,Chattogram,Winter,67.51,35.01,Agricultural,184,7.71,5.01,Yes,None,Maize
Peaty,45,Dhaka,Winter,369.03,36.58,Agricultural,424,6.37,11.57,No,None,Vegetables
Sandy,58,Rangpur,Winter,60.33,18.77,Agricultural,482,5.95,5.06,Yes,High,Maize
Loamy,69,Chattogram,Winter,174.59,36.29,Barren,164,4.93,10.2,Yes,High,Tea
Sandy,46,Khulna,Autumn,55.53,39.79,Barren,56,8.0,6.12,No,Low,Tea
Loamy,49,Khulna,Monsoon,77.0,33.17,Agricultural,352,7.63,11.47,Yes,Moderate,Wheat
Peaty,80,Rangpur,Winter,368.91,34.62,Residential,422,5.17,9.76,Yes,High,None
Peaty,71,Khulna,Summer,174.2,39.86,Agricultural,433,6.55,10.03,Yes,Moderate,Jute
Silt,73,Khulna,Autumn,198.67,30.14,Barren,64,6.45,5.75,No,None,None
Sandy,67,Khulna,Autumn,125.37,22.7,Residential,421,7.0,7.54,Yes,None,None
Silt,99,Barishal,Winter,258.98,35.94,Barren,225,8.28,8.94,Yes,None,Jute
Sandy,54,Chattogram,Autumn,258.18,30.36,Residential,81,6.82,10.16,Yes,None,Jute
Silt,69,Sylhet,Winter,180.27,29.53,Barren,439,6.66,4.83,No,Low,Tea
Clay,76,Chattogram,Monsoon,166.56,21.34,Residential,375,4.7,11.7,No,None,Jute
Clay,68,Rangpur,Monsoon,359.74,33.91,Residential,487,4.75,11.12,No,High,Rice
Clay,61,Khulna,Autumn,184.15,17.04,Residential,327,5.25,6.16,No,None,Rice
Clay,43,Chattogram,Autumn,222.73,38.11,Residential,38,4.63,10.58,No,Moderate,Vegetables
Loamy,59,Barishal,Summer,149.16,23.15,Unused,384,7.47,8.15,Yes,High,Jute
Clay,71,Rangpur,Autumn,325.37,18.19,Barren,319,7.39,7.69,No,Moderate,Wheat
Peaty,75,Rajshahi,Summer,189.11,26.06,Barren,26,5.04,6.52,No,Moderate,Vegetables
Peaty,89,Chattogram,Monsoon,229.76,16.06,Unused,268,7.84,8.65,Yes,Low,Tea
Loamy,43,Rajshahi,Monsoon,138.68,32.12,Residential,447,5.12,9.84,No,Low,Jute
Clay,66,Khulna,Winter,395.68,37.57,Residential,136,5.7,7.29,Yes,Moderate,Rice
Clay,56,Barishal,Monsoon,152.02,35.93,Barren,87,5.5,9.03,No,Moderate,Wheat
Clay,51,Barishal,Summer,319.76,18.18,Unused,53,5.99,9.59,Yes,None,Vegetables
Silt,61,Chattogram,Autumn,199.62,18.16,Residential,213,5.52,9.69,Yes,High,Wheat
Sandy,56,Rangpur,Winter,122.18,35.34,Residential,344,6.46,4.42,No,None,Jute
Silt,49,Rangpur,Summer,329.9,38.11,Residential,74,6.13,10.88,No,Low,Maize
Sandy,93,Barishal,Autumn,166.76,26.52,Agricultural,285,8.45,7.67,Yes,Low,Wheat
Clay,40,Rangpur,Winter,352.82,27.47,Unused,499,4.72,6.1,Yes,None,Wheat
Clay,61,Barishal,Monsoon,370.34,22.96,Residential,61,5.07,5.93,Yes,High,Tea
Silt,65,Chattogram,Summer,350.94,37.36,Agricultural,316,4.71,7.86,Yes,Moderate,Rice
Silt,95,Sylhet,Autumn,62.25,31.12,Unused,480,7.0,11.09,Yes,None,Jute
Sandy,98,Barishal,Winter,325.58,22.21,Residential,250,4.72,7.03,Yes,Low,Wheat
Peaty,57,Rajshahi,Winter,193.97,22.47,Barren,472,7.85,10.0,Yes,High,Jute
Sandy,89,Rangpur,Monsoon,355.8,37.28,Agricultural,397,6.55,4.77,No,Low,Rice
Silt,53,Barishal,Autumn,273.28,15.34,Agricultural,413,6.61,7.81,Yes,High,Tea
Silt,86,Barishal,Monsoon,341.78,23.07,Residential,29,6.75,11.93,No,High,Jute
Loamy,68,Chattogram,Monsoon,224.8,28.86,Residential,377,5.18,10.16,No,High,None
Silt,51,Rangpur,Autumn,237.26,18.71,Agricultural,494,5.29,5.68,Yes,None,Rice
Loamy,75,Sylhet,Autumn,100.54,17.3,Barren,463,5.78,8.01,Yes,None,Rice
Peaty,98,Chattogram,Autumn,324.4,35.38,Barren,147,6.87,5.87,No,None,Vegetables
Sandy,74,Sylhet,Summer,196.79,37.36,Unused,198,5.34,7.28,Yes,High,Tea
Sandy,91,Chattogram,Autumn,225.03,35.59,Residential,424,4.97,10.24,Yes,High,Tea
Loamy,100,Rangpur,Winter,324.78,37.47,Barren,411,8.38,10.17,No,Low,None
Sandy,51,Dhaka,Monsoon,259.6,28.83,Unused,212,4.59,5.82,No,Moderate,Jute
Silt,46,Rangpur,Summer,120.38,35.31,Barren,111,7.71,11.38,No,None,Maize
Clay,68,Rangpur,Autumn,256.58,24.6,Residential,388,7.65,8.74,Yes,High,None
Loamy,50,Sylhet,Summer,192.67,31.66,Unused,250,5.69,7.04,Yes,Low,Vegetables
Sandy,72,Sylhet,Autumn,214.33,39.72,Unused,97,5.04,8.02,No,Low,Tea
Loamy,45,Rangpur,Summer,59.91,20.64,Unused,104,5.08,8.84,Yes,Low,Rice
Loamy,86,Rangpur,Monsoon,123.51,24.75,Barren,49,7.29,8.48,No,None,Tea
Clay,54,Rangpur,Monsoon,148.36,27.0,Residential,232,7.07,7.89,Yes,None,None
Silt,71,Sylhet,Winter,299.54,18.45,Unused,68,7.63,8.04,No,Moderate,Maize
Loamy,90,Rangpur,Winter,54.02,17.03,Agricultural,284,8.25,5.41,Yes,Low,Wheat
Sandy,50,Rangpur,Autumn,193.07,35.74,Residential,164,7.27,10.5,No,None,Wheat
Peaty,97,Khulna,Monsoon,373.41,39.42,Agricultural,88,5.12,8.33,Yes,Low,Tea
Loamy,62,Dhaka,Summer,89.16,25.12,Agricultural,77,5.47,5.05,Yes,High,Tea
Loamy,65,Rajshahi,Summer,230.75,17.19,Unused,204,7.87,10.13,No,Low,Vegetables
Clay,73,Dhaka,Summer,325.28,16.65,Unused,81,5.34,11.46,Yes,Moderate,Tea
Silt,85,Khulna,Winter,379.89,37.28,Barren,498,4.79,11.58,Yes,None,Maize
Peaty,73,Rajshahi,Summer,311.37,26.6,Barren,327,7.31,6.95,No,High,Tea
Sandy,68,Chattogram,Winter,302.2,23.0,Barren,464,6.11,5.08,Yes,None,Jute
Peaty,43,Rangpur,Winter,339.27,26.91,Residential,315,8.18,8.15,Yes,High,None
Sandy,56,Khulna,Autumn,206.17,22.96,Barren,185,7.1,4.9,Yes,Low,Maize
Silt,74,Chattogram,Summer,332.05,27.23,Agricultural,190,4.86,11.47,No,Low,Vegetables
Sandy,52,Rangpur,Summer,52.79,36.49,Barren,82,8.29,5.47,No,Moderate,Jute
Clay,80,Sylhet,Monsoon,373.6,29.81,Unused,166,5.53,6.02,No,Moderate,Jute
Clay,78,Barishal,Autumn,205.16,32.37,Barren,325,5.85,7.25,No,High,None
Clay,54,Khulna,Monsoon,243.68,24.12,Residential,180,6.11,7.07,No,Moderate,Wheat
Clay,94,Sylhet,Autumn,139.21,33.46,Residential,160,4.7,10.36,Yes,Moderate,Maize
Peaty,68,Khulna,Summer,309.89,31.67,Agricultural,353,6.49,7.65,Yes,Moderate,None
Silt,68,Khulna,Winter,76.82,17.99,Residential,116,4.99,5.37,No,Moderate,Jute
Sandy,50,Sylhet,Winter,355.42,29.32,Barren,465,6.1,6.14,Yes,Low,Vegetables
Sandy,91,Rajshahi,Winter,339.84,21.42,Unused,240,5.9,8.07,Yes,Moderate,None
Clay,71,Dhaka,Winter,125.62,35.1,Residential,62,7.59,5.18,Yes,Low,Wheat
Clay,41,Rangpur,Winter,333.26,25.65,Agricultural,452,7.71,8.89,Yes,Low,Jute
Loamy,86,Khulna,Monsoon,325.23,39.87,Barren,311,5.11,8.53,No,None,None
Silt,53,Rangpur,Autumn,271.28,17.31,Agricultural,397,5.97,9.72,No,Low,Maize
Peaty,59,Barishal,Summer,180.73,34.51,Residential,127,5.99,11.5,Yes,Low,Wheat
Sandy,61,Sylhet,Monsoon,145.02,31.84,Residential,285,5.11,11.3,Yes,Moderate,Maize
Loamy,50,Rangpur,Autumn,131.12,34.19,Agricultural,114,7.69,11.57,No,Low,Maize
Loamy,66,Sylhet,Winter,161.51,22.69,Barren,281,7.33,5.96,Yes,High,Maize
Sandy,42,Rangpur,Autumn,366.25,27.3,Residential,332,5.26,5.05,Yes,Moderate,None
Peaty,56,Dhaka,Autumn,77.17,34.91,Unused,404,5.97,6.42,Yes,Moderate,Wheat
Loamy,83,Dhaka,Winter,340.1,20.81,Residential,90,4.92,11.16,No,Moderate,None
Loamy,95,Dhaka,Winter,172.11,20.65,Barren,461,7.01,11.78,No,None,None
Silt,67,Dhaka,Winter,232.56,28.78,Residential,238,4.99,10.87,Yes,Moderate,None
Peaty,68,Dhaka,Summer,328.07,28.09,Agricultural,40,8.44,4.88,Yes,Low,Jute
Loamy,60,Dhaka,Winter,359.53,22.06,Residential,111,7.62,11.58,Yes,High,Tea
Peaty,86,Sylhet,Summer,170.67,22.45,Residential,146,6.06,7.39,Yes,Moderate,Rice
Sandy,55,Khulna,Winter,211.65,21.95,Barren,99,6.81,4.07,Yes,Moderate,Jute
Clay,76,Rangpur,Summer,195.08,34.29,Agricultural,331,8.15,7.54,Yes,High,Wheat
Loamy,98,Dhaka,Autumn,54.64,31.3,Barren,257,6.72,4.37,No,Moderate,Rice
Silt,59,Sylhet,Monsoon,153.58,35.81,Residential,490,5.2,8.35,No,None,Rice
Sandy,45,Sylhet,Autumn,210.72,39.39,Unused,391,6.01,6.71,Yes,Low,Rice
Peaty,58,Sylhet,Autumn,193.88,26.85,Residential,423,7.87,7.79,No,High,Tea
Sandy,96,Khulna,Winter,302.68,16.67,Barren,201,7.08,8.91,Yes,High,None
Loamy,44,Rangpur,Summer,184.68,16.2,Unused,44,7.1,10.95,Yes,None,Vegetables
Peaty,42,Khulna,Monsoon,221.28,22.39,Barren,175,7.97,9.3,No,Low,Wheat
